nit;name_restaurant;manager_restaurant;type_id_customer;id_customer;first_name;last_name;phone;address;date_order;code_order;name_product;code_product;description;cost;quantity;status
1002852648;éxito;carlos;TI;1601745992;Maria;Paul;488635718;1564854685;12/02/2020;13;Ogdan;48562458421;comida;54,25;1;delivered
1002852649;carulla;maria;CC;1601745993;Carlos;Pantoja;544815445;454685;15/12/2024;11;Patric;48562458419;casa;25,24;2;sent
1002852650;alkosto;arturo;CE;1601745994;Hernesto;Segundo;246641415;888;10/12/2014;9;Dillon;48562458417;cocina;6,24;3;requested
1002852651;brilla;helena;PP;1601745995;Danna;Perez;256166881;5;11/05/2013;5;Aldus;48562458415;animal;15,55;4;in process
1002852648;éxito;carlos;TI;1601745992;Maria;Paul;488635718;1564854685;12/02/2020;13;Nicolai;48562458413;salud;-8,455;1;delivered
1002852649;carulla;maria;CC;1601745993;Carlos;Pantoja;544815445;454685;15/12/2024;11;Tome;48562458411;belleza;-21,965;2;sent
1002852650;alkosto;arturo;CE;1601745994;Hernesto;Segundo;246641415;888;10/12/2014;9;Augie;48562458409;comida;-35,475;3;requested
1002852651;brilla;helena;PP;1601745995;Danna;Perez;256166881;5;11/05/2013;5;Harald;48562458407;casa;-48,985;4;in process
1002852648;éxito;carlos;TI;1601745992;Maria;Paul;488635718;1564854685;12/02/2020;13;Randy;48562458405;cocina;-62,495;1;delivered
1002852649;carulla;maria;CC;1601745993;Carlos;Pantoja;544815445;454685;15/12/2024;11;Robinet;48562458403;animal;-76,005;2;sent
1002852650;alkosto;arturo;CE;1601745994;Hernesto;Segundo;246641415;888;10/12/2014;9;Emerson;48562458401;salud;-89,515;3;requested
1002852651;brilla;helena;PP;1601745995;Danna;Perez;256166881;5;11/05/2013;5;Llywellyn;48562458399;belleza;-103,025;4;in process
1002852648;éxito;carlos;TI;1601745992;Maria;Paul;488635718;1564854685;12/02/2020;13;Colman;48562458397;comida;-116,535;1;delivered
1002852649;carulla;maria;CC;1601745993;Carlos;Pantoja;544815445;454685;15/12/2024;11;Rurik;48562458395;casa;-130,045;2;sent
1002852650;alkosto;arturo;CE;1601745994;Hernesto;Segundo;246641415;888;10/12/2014;9;Isacco;48562458393;cocina;-143,555;3;requested
1002852651;brilla;helena;PP;1601745995;Danna;Perez;256166881;5;11/05/2013;5;Izaak;48562458391;animal;-157,065;4;in process
1002852648;éxito;carlos;TI;1601745992;Maria;Paul;488635718;1564854685;12/02/2020;13;Flint;48562458389;salud;-170,575;1;delivered
1002852649;carulla;maria;CC;1601745993;Carlos;Pantoja;544815445;454685;15/12/2024;11;Bobby;48562458387;belleza;-184,085;2;sent
1002852650;alkosto;arturo;CE;1601745994;Hernesto;Segundo;246641415;888;10/12/2014;9;Peadar;48562458385;comida;-197,595;3;requested
